entity_label,start_position,end_position,correct_prediction,candidates,matching_candidate_index
Bandar Seri Begawan,0,19,True,"[[""Bandar Seri Begawan"", 0.928, 1.0, 1.0, 0.354], [""Pusat Bandar, Brunei"", 0.923, 0.46, 0.23, 0.348], [""Embassy of the Philippines, Bandar Seri Begawan"", 0, 0.58, 0.0, 0.45]]",0
AFP,26,29,False,"[[""AFC Ajax"", 0.697, 0.36, 1.0, -0.12], [""Agence France-Presse"", 0.654, 0.26, 0.0, 0.226], [""Armed Forces of the Philippines Medal of Valor"", 0, 0.12, 0.115, 0.126]]",1
NPR NEWS,16,24,True,"[[""NPR"", 0.744, 0.55, 1.0, 0.067], [""News-Press & Gazette Company"", 0.653, 0.17, 0.459, 0.068], [""Weekend Edition"", 0.961, 0.17, 0.0, 0.033]]",0
Washington,28,38,True,"[[""Washington, D.C."", 0.848, 0.77, 1.0, -0.011], [""Washington (state)"", 0.748, 0.71, 0.596, 0.11], [""University of Washington"", 0, 0.59, 0.0, 0.017]]",0
Miami Dade County,500,517,True,"[[""Miami-Dade County, Florida"", 0.747, 0.74, 1.0, 0.286], [""Metrorail (Miami-Dade County)"", 0.846, 0.7, 0.0, 0.135], [""Miami-Dade County Public Schools"", 0, 0.65, 0.633, 0.296]]",0
Democrats,586,595,True,"[[""Democratic Party (United States)"", 0.871, 0.44, 1.0, 0.018], [""Liberal Democrats (UK)"", 0.871, 0.58, 0.0, 0.054], [""Social democracy"", 0, 0.48, 0.225, -0.095]]",0
Palm Beach County,653,670,True,"[[""Palm Beach County, Florida"", 0.747, 0.79, 1.0, 0.185], [""Wellington, Florida"", 0.857, 0.17, 0.32, 0.19], [""School District of Palm Beach County"", 0, 0.64, 0.0, 0.217]]",0
Al Gore,567,574,True,"[[""Al Gore"", 0.7, 1.0, 1.0, 0.193], [""Albert Gore Sr."", 0.7, 0.64, 0.289, 0.158], [""Al Gore and information technology"", 0, 0.34, 0.0, 0.177]]",0
Washington State,557,573,False,"[[""Washington, D.C."", 0.804, 0.69, 1.0, -0.003], [""Washington (state)"", 0.716, 0.88, 0.772, 0.062], [""Washington State University"", 0, 0.74, 0.0, 0.087]]",1
Seattle,704,711,True,"[[""Seattle"", 0.848, 1.0, 1.0, 0.095], [""Seattle Seahawks"", 0.881, 0.61, 0.884, -0.039], [""Seattle SuperSonics"", 0.854, 0.54, 0.0, -0.054]]",0
AFP,14,17,False,"[[""AFC Ajax"", 0.698, 0.36, 1.0, 0.068], [""Agence France-Presse"", 0.656, 0.26, 0.0, 0.346], [""Armed Forces of the Philippines Medal of Valor"", 0, 0.12, 0.115, -0.015]]",1
Iraq,119,123,False,"[[""Iran"", 0.836, 0.75, 1.0, 0.169], [""Iraq"", 0.836, 1.0, 0.136, 0.432], [""Iraq War"", 0.946, 0.67, 0.0, 0.357]]",1
Florida,57,64,True,"[[""Florida"", 0.748, 1.0, 1.0, 0.338], [""Tampa, Florida"", 0.848, 0.67, 0.024, 0.275], [""Orlando, Florida"", 0.848, 0.61, 0.0, 0.259]]",0
AFP,12,15,False,"[[""AFC Ajax"", 0.697, 0.36, 1.0, -0.124], [""Agence France-Presse"", 0.653, 0.26, 0.0, 0.216], [""Armed Forces of the Philippines Medal of Valor"", 0, 0.12, 0.115, 0.099]]",1
Lebanon,16,23,True,"[[""Lebanon"", 0.836, 1.0, 1.0, 0.48], [""2006 Lebanon War"", 0.945, 0.61, 0.0, 0.534], [""Lebanon national football team"", 0.915, 0.38, 0.397, 0.376]]",0
Israel,133,139,True,"[[""Israel"", 0.836, 1.0, 1.0, 0.368], [""Israel national football team"", 0.916, 0.34, 0.165, 0.19], [""Israel national under-21 football team"", 0.916, 0.27, 0.0, 0.222]]",0
Yemen,92,97,True,"[[""Yemen"", 0.836, 1.0, 1.0, 0.128], [""South Yemen"", 0.946, 0.62, 0.0, 0.094], [""Yemen national football team"", 0.916, 0.3, 0.243, 0.193]]",0
Ralph Nader,78,89,True,"[[""Ralph Nader"", 0.697, 1.0, 1.0, 0.378], [""Ralph Nader 2008 presidential campaign"", 0, 0.45, 0.098, 0.492], [""Ralph Nader 2004 presidential campaign"", 0, 0.45, 0.0, 0.513]]",0
America,427,434,True,"[[""United States"", 0.835, 0.2, 1.0, 0.032], [""California"", 0.748, 0.35, 0.68, 0.038], [""North America"", 0.827, 0.7, 0.0, -0.032]]",0
Florida,503,510,True,"[[""Florida"", 0.748, 1.0, 1.0, 0.024], [""Tampa, Florida"", 0.848, 0.67, 0.024, 0.01], [""Orlando, Florida"", 0.848, 0.61, 0.0, -0.01]]",0
Oregon,528,534,True,"[[""Oregon"", 0.747, 1.0, 1.0, 0.157], [""Portland, Oregon"", 0.847, 0.55, 0.852, 0.166], [""Eugene, Oregon"", 0.847, 0.6, 0.0, 0.05]]",0
Portland,514,522,False,"[[""Poland"", 0.829, 0.86, 1.0, -0.064], [""Portland, Oregon"", 0.841, 0.67, 0.361, 0.132], [""Portland, Maine"", 0.841, 0.7, 0.0, 0.114]]",1
Gainesville,570,581,True,"[[""Gainesville, Florida"", 0.848, 0.71, 1.0, 0.064], [""Gainesville, Georgia"", 0.848, 0.71, 0.338, 0.014], [""Gainesville, Texas"", 0.848, 0.76, 0.0, -0.006]]",0
ABC,248,251,True,"[[""American Broadcasting Company"", 0.747, 0.19, 1.0, 0.317], [""ABC Futebol Clube"", 0.697, 0.3, 0.295, 0.145], [""ABC Records"", 0.719, 0.43, 0.0, 0.117]]",0
Fox Sports,596,606,False,"[[""Fox Sports Radio"", 0.73, 0.77, 1.0, 0.163], [""Fox Sports 1"", 0.765, 0.91, 0.124, 0.234], [""Fox Sports (United States)"", 0, 0.56, 0.0, 0.179]]",2
Sun Microsystems,620,636,True,"[[""Sun Microsystems"", 0.652, 1.0, 1.0, 0.058], [""Acquisition of Sun Microsystems by Oracle Corporation"", 0, 0.46, 0.244, 0.154], [""List of Sun Microsystems employees"", 0, 0.64, 0.0, 0.113]]",0
